Empresa: IPANEMA AGRICOLA S.A.                                                                                                                                                                                                   Saldo Fisico dos Itens - 31/05/2014                                                                                                                                                                                         Data de Emissão: 12/06/2014 - 10:21:33;;;;;;;;;;;;;;;;                                                                                                             
Item;Est;Dep;Localização;Lote;Refer.;Validade;Un;Qtd Liquida;Qtd Aloca Fatur;Qtd Aloca Produção;Qtd Aloca Ped Venda;Família;Grupo Estoque;Fator Conc/PPM;Ob;Descrição                                                                                                             
12025;13;MAN;;;;;;400,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Haste 500 mm 108100                                                                                                             
12026;13;MAN;;;;;;6,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Emenda Corrente CA 550                                                                                                             
12027;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Roda Dentada para can 816272 com chaveta                                                                                                             
12030;13;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Roda Dentada 848416                                                                                                             
12035;12;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Caixa do Mancal 13/8' - 110478                                                                                                             
12035;13;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Caixa do Mancal 13/8' - 110478                                                                                                             
12039;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Cinta com suporte completa 107.904                                                                                                             
12041;12;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Bucha 851931 (KTR)                                                                                                             
12041;13;MAN;;;;;;90,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Bucha 851931 (KTR)                                                                                                             
12043;12;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Mancau tipo Flange com rolamento 859900                                                                                                             
12043;13;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Mancau tipo Flange com rolamento 859900                                                                                                             
12044;12;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Eixo do Motor 848705                                                                                                             
12046;12;MAN;;;;;;8,9000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Corrente ASA 50                                                                                                             
12051;13;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Polia Dentada 36H Passo 1/2 921.841                                                                                                             
12054;13;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Eixo Separador Esquerdo 14332                                                                                                             
12058;12;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Emenda 209528 asa 40                                                                                                             
12058;13;MAN;;;;;;9,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Emenda 209528 asa 40                                                                                                             
12059;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Eixo superior direito 011205                                                                                                             
12068;12;MAN;;;;;;550,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Bucha da haste 713115                                                                                                             
12068;13;MAN;;;;;;1.187,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Bucha da haste 713115                                                                                                             
12070;12;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Alavanca sem trava 089961                                                                                                             
12074;13;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Reparo do cilindro 516609                                                                                                             
12075;14;MAN;;;;;;2,5500;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;"Mangueira 2"" Dema trama de aço com 3 metros"                                                                                                             
12076;13;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Roda dentada 11 dentes 921239                                                                                                             
12078;13;MAN;;;;;;410,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Parafuso da haste RF                                                                                                             
12082;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Engrenagem do Rolo passo 1/2 x 5/16 659920                                                                                                             
12088;13;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Acoplamento 139402                                                                                                             
12097;14;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Parafuso 9/16x3/8 814301 K3                                                                                                             
12099;14;MAN;;;;;;4,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Corrente da Asa 40 K3                                                                                                             
12106;12;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Limitador do Motor 968537                                                                                                             
12108;13;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Eixo Motriz 185595                                                                                                             
12111;13;MAN;;;;;;2.000,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Haste 570mm 956169                                                                                                             
12112;13;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Cabo flexivel 2,5 m 089946                                                                                                             
12115;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Caixa Plastica Esquerda 996769                                                                                                             
12117;12;MAN;;;;;;540,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Parafuso 1/4 x 2 UNF45 848465                                                                                                             
12117;13;MAN;;;;;;318,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Parafuso 1/4 x 2 UNF45 848465                                                                                                             
12117;14;MAN;;;;;;140,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Parafuso 1/4 x 2 UNF45 848465                                                                                                             
12118;12;MAN;;;;;;520,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Porca Parlock 1/4 139394                                                                                                             
12118;13;MAN;;;;;;418,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Porca Parlock 1/4 139394                                                                                                             
12118;14;MAN;;;;;;140,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Porca Parlock 1/4 139394                                                                                                             
12119;12;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL02;40;0,0000;Ativo;Aro da Roda dianteira 612564                                                                                                             
